,ChEMBL_ID,REFERENCE,PUBMED_ID
246,CHEMBL204934,"Bioorg. Med. Chem. Lett., 16, p. 2091 (2006)",16460937
247,CHEMBL206010,"Bioorg. Med. Chem. Lett., 16, p. 2091 (2006)",16460937
248,CHEMBL69757,"Bioorg. Med. Chem. Lett., 14, p. 2121 (2004)",15080992
249,CHEMBL65884,"Bioorg. Med. Chem. Lett., 14, p. 2121 (2004)",15080992
250,CHEMBL189415,"J. Med. Chem., 47, p. 4716 (2004)",15341487
251,CHEMBL182283,"Bioorg. Med. Chem. Lett., 14, p. 3907 (2004)",15225695
252,CHEMBL495902,"Bioorg. Med. Chem. Lett., 18, p. 5285 (2008)",18789685
253,CHEMBL1909351,"Bioorg. Med. Chem. Lett., 13, p. 2985 (2003)",12941317
254,CHEMBL365297,"J. Med. Chem., 47, p. 4716 (2004)",15341487
255,CHEMBL362155,"J. Med. Chem., 47, p. 4716 (2004)",15341487
256,CHEMBL186213,"J. Med. Chem., 47, p. 4716 (2004)",15341487
257,CHEMBL188257,"J. Med. Chem., 47, p. 4716 (2004)",15341487
258,CHEMBL427159,"J. Med. Chem., 47, p. 4716 (2004)",15341487
259,CHEMBL185939,"J. Med. Chem., 47, p. 4716 (2004)",15341487
260,CHEMBL188784,"J. Med. Chem., 47, p. 4716 (2004)",15341487
261,CHEMBL189148,"J. Med. Chem., 47, p. 4716 (2004)",15341487
262,CHEMBL188794,"J. Med. Chem., 47, p. 4716 (2004)",15341487
263,CHEMBL305477,"Bioorg. Med. Chem. Lett., 14, p. 2121 (2004)",15080992
264,CHEMBL303687,"Bioorg. Med. Chem. Lett., 14, p. 2121 (2004)",15080992
265,CHEMBL434729,"J. Med. Chem., 47, p. 4716 (2004)",15341487
266,CHEMBL1909360,"Bioorg. Med. Chem. Lett., 15, p. 3519 (2005)",15990302
267,CHEMBL1909361,"Bioorg. Med. Chem. Lett., 15, p. 3519 (2005)",15990302
268,CHEMBL1909362,"Bioorg. Med. Chem. Lett., 15, p. 3519 (2005)",15990302
269,CHEMBL103104,"Bioorg. Med. Chem. Lett., 13, p. 2985 (2003)",12941317
270,CHEMBL103115,"Bioorg. Med. Chem. Lett., 13, p. 2985 (2003)",12941317
271,CHEMBL188247,"J. Med. Chem., 47, p. 4716 (2004)",15341487
272,CHEMBL189459,"J. Med. Chem., 47, p. 4716 (2004)",15341487
273,CHEMBL520037,"Bioorg. Med. Chem. Lett., 18, p. 6214 (2008)",18929484
274,CHEMBL514499,"Bioorg. Med. Chem. Lett., 19, p. 1694 (2009)",19237286
275,CHEMBL232601,"Bioorg. Med. Chem. Lett., 17, p. 1296 (2007)",17194588
276,CHEMBL514162,"Bioorg. Med. Chem. Lett., 19, p. 1694 (2009)",19237286
277,CHEMBL481510,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
278,CHEMBL480371,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
279,CHEMBL241517,"Bioorg. Med. Chem. Lett., 17, p. 250 (2007)",17027260
280,CHEMBL519881,"Bioorg. Med. Chem. Lett., 18, p. 6214 (2008)",18929484
281,CHEMBL507329,"Bioorg. Med. Chem. Lett., 19, p. 1332 (2009)",19208477
282,CHEMBL486124,"Bioorg. Med. Chem. Lett., 18, p. 6214 (2008)",18929484
283,CHEMBL506153,"J. Med. Chem., 51, p. 5663 (2008)",18800763
284,CHEMBL14112,"Bioorg. Med. Chem. Lett., 8, p. 3111 (1998)",9873686
285,CHEMBL274863,"Bioorg. Med. Chem. Lett., 8, p. 3111 (1998)",9873686
286,CHEMBL1909407,"Bioorg. Med. Chem. Lett., 11, p. 2867 (2001)",11597418
287,CHEMBL95207,"Bioorg. Med. Chem. Lett., 11, p. 2867 (2001)",11597418
288,CHEMBL95502,"Bioorg. Med. Chem. Lett., 11, p. 2867 (2001)",11597418
289,CHEMBL1888586,"Bioorg. Med. Chem. Lett., 11, p. 2867 (2001)",11597418
290,CHEMBL330422,"Bioorg. Med. Chem. Lett., 11, p. 2867 (2001)",11597418
291,CHEMBL318892,"Bioorg. Med. Chem. Lett., 11, p. 2867 (2001)",11597418
292,CHEMBL275798,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
293,CHEMBL269450,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
294,CHEMBL275724,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
295,CHEMBL428877,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
296,CHEMBL13972,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
297,CHEMBL13868,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
298,CHEMBL273611,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
299,CHEMBL14014,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
300,CHEMBL417804,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
301,CHEMBL275666,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
302,CHEMBL1785004,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
303,CHEMBL418348,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
304,CHEMBL1785002,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
305,CHEMBL1785003,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
306,CHEMBL275200,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
307,CHEMBL275168,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
